reward_today,future_reward,delay,key_resp.keys,k,
360,730,90,l,0.011419753,
305,620,90,l,0.01147541,
250,510,90,l,0.011555556,
30,70,90,l,0.014814815,
350,710,60,l,0.017142857,
240,490,60,l,0.017361111,
130,270,60,l,0.017948718,
470,950,48,l,0.021276596,
395,800,45,l,0.02278481,
285,580,45,l,0.023001949,
175,360,45,l,0.023492063,
120,250,45,l,0.024074074,
12,30,60,l,0.025,
8,15,30,l,0.029166667,
490,990,32,l,0.031887755,
435,880,30,l,0.034099617,
380,770,30,l,0.034210526,
325,660,30,l,0.034358974,
270,550,30,l,0.034567901,
215,440,30,l,0.034883721,
465,940,29,l,0.035224323,
260,530,21,l,0.049450549,
150,310,21,l,0.050793651,
475,960,20,l,0.051052632,
95,200,21,l,0.052631579,
40,90,21,l,0.05952381,
320,650,15,l,0.06875,
265,540,15,l,0.06918239,
210,430,15,l,0.06984127,
445,900,14,l,0.073033708,
390,790,14,l,0.073260073,
335,680,14,l,0.073560768,
225,460,14,l,0.074603175,
60,130,14,l,0.083333333,
485,980,11,l,0.092783505,
410,830,10,l,0.102439024,
355,720,10,l,0.102816901,
300,610,10,l,0.103333333,
245,500,10,l,0.104081633,
10,25,14,l,0.107142857,
135,280,10,l,0.107407407,
80,170,10,l,0.1125,
275,560,7,l,0.148051948,
220,450,7,l,0.149350649,
110,230,7,l,0.155844156,
55,120,7,l,0.168831169,
420,850,5,l,0.204761905,
365,740,5,l,0.205479452,
255,520,5,l,0.207843137,
200,410,5,l,0.21,
90,190,5,l,0.222222222,
400,810,3,l,0.341666667,
345,700,3,l,0.342995169,
290,590,3,l,0.344827586,
125,260,3,l,0.36,
5,20,7,l,0.428571429,
15,40,3,l,0.555555556,
415,840,90,t,0.011378849,0.079508381
195,400,90,t,0.011680912,
140,290,90,t,0.011904762,
85,180,90,t,0.012418301,
405,820,60,t,0.017078189,
295,600,60,t,0.017231638,
185,380,60,t,0.017567568,
75,160,60,t,0.018888889,
455,920,50,t,0.02043956,
450,910,45,t,0.022716049,
340,690,45,t,0.022875817,
230,470,45,t,0.023188406,
65,140,45,t,0.025641026,
460,930,35,t,0.029192547,
20,50,45,t,0.033333333,
160,330,30,t,0.035416667,
105,220,30,t,0.036507937,
50,110,30,t,0.04,
425,860,21,t,0.048739496,
370,750,21,t,0.048906049,
315,640,21,t,0.049130763,
205,420,21,t,0.049941928,
430,870,15,t,0.068217054,
375,760,15,t,0.068444444,
155,320,15,t,0.070967742,
480,970,14,t,0.072916667,
100,210,15,t,0.073333333,
280,570,14,t,0.073979592,
170,350,14,t,0.075630252,
115,240,14,t,0.077639752,
45,100,15,t,0.081481481,
190,390,10,t,0.105263158,
25,60,10,t,0.14,
440,890,7,t,0.146103896,
385,780,7,t,0.146567718,
330,670,7,t,0.147186147,
165,340,7,t,0.151515152,
310,630,5,t,0.206451613,
145,300,5,t,0.213793103,
35,80,5,t,0.257142857,
235,480,3,t,0.34751773,
180,370,3,t,0.351851852,
70,150,3,t,0.380952381,
